ID|Naslov|Avtor|Mentor|Ključne besede|Leto|Jezik|Organizacija|Kraj|Ogledi|Prenosi
44647|Dr. Bogumil Vošnjak - politik in diplomat|Gačić, Aleksandra|RAHTEN, ANDREJ|Bogumil Vošnjak, politična biografija, Kraljevina Srbov, Hrvatov in Slovencev, Jugoslovanski odbor, Krfska deklaracija, pariška mirovna konferenca, Samostojna kmetijska stranka, jugoslovanska diplomacija, slovenska diplomacija, Slovenci v emigraciji.|2014|Slovenski jezik|FF - Filozofska fakulteta|[Maribor|3936|682
43606|ORGANIZACIJSKI MODEL ZAGOTAVLJANJA VARNOSTI IN KAKOVOSTI PRI OBRAVNAVI PSIHIATRIČNEGA BOLNIKA Z VIDIKA RAZLIČNIH DELEŽNIKOV|Gabrovec, Branko|Lobnikar, Branko|Varnost, kakovost, psihiatrični, bolnik, nasilje, agresija, zdravstvena nega, sprejem proti volji, zagotavljanje varnosti, upravljanje kakovosti|2014|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Maribor|3419|601
45072|APROKSIMACIJSKI ALGORITEM GRADNJE SREDNJE OSI ENOSTAVNIH MNOGOKOTNIKOV, TEMELJEČ NA OMEJENI DELAUNAYEVI TRIANGULACIJI|Smogavec, Gregor|Žalik, Borut|računalniška geometrija, algoritmi, skeleton, srednja os, omejena Delaunayjeva trian-gulacija, Steinerjeve točke|2014|Slovenski jezik|FERI - Fakulteta za elektrotehniko, računalništvo in informatiko|[Maribor|1713|183
44875|NUMERICAL MODELING OF THE IMMERSION QUENCHING PROCESS USING AN EULERIAN MULTI-FLUID MODELING APPROACH|Kopun, Rok|Škerget, Leopold|CFD, Multiphase boiling, heat transfer, quenching, Leidenfrost temperature, interfacial forces, results comparison|2014|Angleški jezik|FS - Fakulteta za strojništvo|[Maribor]|2175|302
44859|Večfazni numerični model razpršilnega sušenja suspenzije zeolit - voda|Sagadin, Gregor|Hriberšek, Matjaž|Zeolit, Razpršilno sušenje, Večfazni numerični model, Računalniška dinamika tekočin, Prenos toplote in snovi|2014|Slovenski jezik|FS - Fakulteta za strojništvo|[Maribor|4742|346
44856|Razvoj mikrostrukture pri izdelavi gradientnega materiala H13-Cu s tehnologijo LENS|Artiček, Uroš|Anžel, Ivan|tehnologija LENS, funkcionalno gradientni materiali, orodno jeklo, baker, mikrostruktura, mehanske lastnosti|2014|Slovenski jezik|FS - Fakulteta za strojništvo|[Maribor|2429|274
44331|ANALIZA UTRUJANJA DELOVNIH VALJEV PRI VROČEM VALJANJU PLOČEVINE|Drobne, Matej|Glodež, Srečko|kontaktni problemi, utrujanje, numerične analize, vroča valjarna trakov|2014|Slovenski jezik|FS - Fakulteta za strojništvo|[Maribor|2592|286
44126|Molekularne metode za spremljanje kontaminacije bolnišničnih tekstilij|Rozman, Urška|Šostar-Turk, Sonja|bolnišnične okužbe, bolnišnične tekstilije, RODAC, Morapex A, PCR, DHPLC|2014|Slovenski jezik|FNM - Fakulteta za naravoslovje in matematiko|[Maribor|3131|362
44083|Učinkovitost konceptualnega pouka fizike v srednji šoli|Ülen, Simon|Gerlič, Ivan|izobraževanje, fizika, didaktika fizike, poučevanje fizike, učni pristopi, konceptualni pouk fizike, IKT, konceptualni modeli – fizleti, didaktični model, empirična raziskava, interaktivna e-gradiva, strategije presoje|2014|Slovenski jezik|FNM - Fakulteta za naravoslovje in matematiko|[Maribor|2898|373
44911|Zgodnje matematične izkušnje matematikov in njihova starševska vpletenost v matematično izobraževanje njihovih otrok|Antolin, Darja|Lipovec, Alenka|matematično izobraževanje, vloga staršev, matematične aktivnosti, matematične izkušnje, postavljanje podpore, narativni pristop|2014|Slovenski jezik|FNM - Fakulteta za naravoslovje in matematiko|[Maribor|2764|430
