Naslov,Avtorji,Mentorji,Komentorji,Ključne besede,Leto,Jezik,Organizacija,Dolžina uvoda,Dolžina glavnega dela,Ogledi,Prenosi
Vpliv tehnoloških postopkov na spremembe fenolnih spojin v sokovih in nektarjih,"Trošt, Kajetan","Hribar, Janez","Golc-Wondra, Alenka",sadni sokovi; sadni nektarji; stabilnost sokov; stabilnost nektarjev; borovnica; aronija; pomaranča; borovničev nektar; pomarančni sok; antioksidanti; fenolne spojine; polifenoli; antociani; flavanoli; fenolne kisline; antioksidativna učinkovitost; vitamin C; karotenoidi; HMF; skladiščenje soka; tehnološki postopki; pakiranje; embalažni materiali; steklo; karton; PET; fruit juices; fruit nectars; fruit juice stability; fruit nectar stability; blueberry; aronia; orange; blueberry nectar; orange juice; antioxidants; phenolic compounds; polyphenols; anthocyanins; flavanols; phenolic acids; antioxidative capacity; vitamin C; carotenoids; HMF; storing; fruit juice technology; packaging; packaging materials; glass; carton; polyethylene terephthalate,2009,Slovenski jezik,BF - Biotehniška fakulteta,22,186,1387,220
Mimesis,"Berlot Pompe, Uršula","Brejc, Tomaž","Dolar, Mladen; Bernik, Stane",estetika; podobnost; narava,2009,Slovenski jezik,ALUO - Akademija za likovno umetnost in oblikovanje,,,1384,159
Vpliv nosilnih sistemov na interakcije koencima Q10 z modelnimi lipidnimi membranami,"Ota, Ajda","Poklar Ulrih, Nataša",,koencim Q10; modelne membrane; fluidnost; nosilci; elektronska paramagnetna resonanca; fluorescenčna spektroskopija; diferenčna dinamična kalorimetrija; DSC; coenzyme Q10; model membranes; fluidity; carriers; electron paramagnetic resonance; fluorescent spectroskopy; differential dynamic calorimetry; DSC,2014,Slovenski jezik,BF - Biotehniška fakulteta,22,134,3362,462
Pozne stopnje biosinteze eritromicina pri aktinobakteriji Saccharopolyspora erythraea,"Kirm, Benjamin","Petković, Hrvoje",,aktinomicete; Saccharopolyspora erythraea; biosinteza; sekundarni metaboliti; poliketidi; post-PKS; eritromicin; bioinformatske metode; molekularna genetika; genska manipulacija; regulacija; fiziologija; disertacije; actinomycete; Saccharopolyspora erythraea; biosynthesis; secondary metabolites; polyketides; post-PKS; erythromycin; bioinformatics methods; molecular genetics; gen manipulation; regulation; physiology,2014,Slovenski jezik,BF - Biotehniška fakulteta,,,2428,394
Nove oblike razmerij in njihove posledice,"Paska, Iva","Rener, Tanja",,,2014,Angleški jezik,FDV - Fakulteta za družbene vede,,,1644,315
"Privatna vojaška podjetja - organizacija, doktrine in poslovanje","Papler, Peter","Žabkar, Anton","Jelušič, Ljubica",privatna vojaška podjetja; bojiščne funkcije; mednarodno pravo; oboroženi spopadi,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,3146,378
Vpliv izobraževanja in usposabljanja na podjetnikovo uspešnost,"Hvalič Erzetič, Barbara","Drnovšek, Mateja","Lipičnik, Bogdan",podjetništvo; podjetnik; uspeh; znanje; izobraževanje; izobrazba; raziskave; analiza; entrepreneurship; entrepreneurs; success; knowledge; training; education; research; analysis,2014,Slovenski jezik,EF - Ekonomska fakulteta,6,180,2463,347
Naložbeni aspekt umetnin in mednarodni trgi umetnin,"Ažman, Miha","Kumar, Andrej",,trg kapitala; investicije; umetnost; vrednost; donos; tveganje; mednarodna menjava; capital market; investments; art; value; yield; risk; international trade,2014,Slovenski jezik,EF - Ekonomska fakulteta,4,139,2572,284
Podjetniška radovednost,"Jeraj, Mitja","Antončič, Boštjan",,podjetništvo; podjetnik; uspeh; podjetje; rastoče podjetje; raziskave; komparacije; analiza; entrepreneurship; entrepreneurs; success; enterprises; growing company; research; comparisons; analysis,2014,Slovenski jezik,EF - Ekonomska fakulteta,3,77,2986,417
Vpliv vizualizacije informacij na kakovost informacij pri poslovnem odločanju,"Zabukovec, Alenka","Jaklič, Jurij",,poslovna informatika; informacije; vizualizacija; poslovno odločanje; kakovost; empirične raziskave,2014,Slovenski jezik,EF - Ekonomska fakulteta,5,157,2832,358
Razvoj refleksivnega mišljenja in supervizija pedagoških delavcev,"Rupar, Brigita","Kobolt, Alenka",,pedagoški delavci; refleksivno mišljenje; refleksija; kompetence,2014,Slovenski jezik,PEF - Pedagoška fakulteta,,,2557,530
"Narativne in dialoške razsežnosti ""Orff-Schulwerka""","Zalar, Konstanca","Sicherl-Kafol, Barbara","Kordeš, Urban","""Orff-Schulwerk""; narativna paradigma; teorija dialoga; prvoosebno doživljanje; nebesedno sporočanje; pedagoški pogled; fenomenološke študije",2014,Slovenski jezik,PEF - Pedagoška fakulteta,19,229,2334,450
Interaktivni pristop poučevanja in učenja pri pouku likovne vzgoje,"Tomljenović, Zlata","Tacol, Tonka","Vogrinc, Janez",učitelj; metode; oblike; ustvarjalnost; veščine; učenci,2014,Slovenski jezik,PEF - Pedagoška fakulteta,16,301,4082,446
Diferencialna diagnostika med otroki s specifičnimi motnjami branja in branjem otrok z motnjami v duševnem razvoju,"Šimnic, Franci","Čuk, Miran",,primanjkljaji; diferencialna diagnostika; osnovna šola; kognitivni vidiki; testi,2014,Slovenski jezik,PEF - Pedagoška fakulteta,,,2838,460
Improvizacija kot medij doseganja socialnointegracijskih ciljev socialne krepitve ranljivih skupin,"Strelec, Irena","Razpotnik, Špela",,improvizacija; gledališče; ranljivost,2014,Slovenski jezik,PEF - Pedagoška fakulteta,5,297,1839,408
Alternativne metode modeliranja relativnega preživetja,"Jesenko, Manca","Stare, Janez",,relativno preživetje; transformacijski pristop; aditivni regresijski model; multiplikativni regresijski model,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2273,371
Vloga dvojnega državljanstva v procesu integracije imigrantov,"Kejžar, Barbara","Komac, Miran",,,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,1729,242
Učinki načina anketiranja v spletnih anketah,"Berzelak, Jernej","Vehovar, Vasja","Leeuw, Edith Desirée de",način anketiranja; učinek načina anketiranja; napaka merjenja,2014,Angleški jezik,FDV - Fakulteta za družbene vede,,,2187,289
Konceptualni model upravljavske sposobnosti lokalnih samoupravnih skupnosti,"Rožen, Tomaž","Haček, Miro",,lokalna demokracija; upravljalska sposobnost,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,3283,324
Učinek sestave vzorca pri ocenjevanju parametrov postavk in dosežkov v mednarodnih raziskavah znanja,"Rožman, Mojca","Sočan, Gregor",,mednarodne raziskave znanja; invariantnost parametrov; PIRLS; TIMSS,2014,Angleški jezik,FDV - Fakulteta za družbene vede,,,1960,352
Vloga marketinškega spleta mest v procesu identifikacije prebivalcev z mestom in njihova zavezanost do kraja bivanja,"Udir Mišič, Katja","Podnar, Klement",,marketinški splet mesta; zavezanost,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2356,549
Heteronormativnost vzgojnega procesa,"Tuš, Nina","Kuhar, Roman","Švab, Alenka",istospolna družina; heteronormativnost; vrtec,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,3050,437
Pomen komunikacijskih kompetenc zdravnikov v procesu diagnostike in zdravljenja,"Terseglav, Saška","Ule, Mirjana",,komunikacijske kompetence; motnje v komuniciranju,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2382,934
Vloga družboslovnih ved v oživljanju javne sfere,"Založnik, Pika","Splichal, Slavko",,družboslovne znanosti; znanstvena kultura,2014,Angleški jezik,FDV - Fakulteta za družbene vede,,,1566,655
Družbena konstrukcija slabe ženske,"Pivec, Nataša","Šadl, Zdenka",,telo; spol; seksualnost; moč,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2351,1002
Načelo učinkovitosti razvojne pomoči Evropske unije in Kitajske Mozambiku,"Pliberšek, Eva","Bučar, Maja",,mednarodno razvojno sodelovanje; učinkovitost pomoči,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2226,359
"Želja, izbira, subjekt","Živoder, Andreja","Ule, Mirjana","Bahovec, Eva D.",,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,1935,342
Javni narativi o preteklosti v okviru procesov tranzicijske pravičnosti,"Mihajlović Trbovc, Jovana","Jalušič, Vlasta",,,2014,Angleški jezik,FDV - Fakulteta za družbene vede,,,1730,529
Konstruiranje in reprezentiranje drugačnosti v lokalnem kontekstu,"Grobelšek, Andreja","Dekleva, Bojan",,marginalizirane družbene skupine; socialna kategorizacija; kritična diskurzivna analiza; reprezentacije; lokalni mediji; subjekt,2014,Slovenski jezik,PEF - Pedagoška fakulteta,,,2385,487
Pedagoška vrednost interpretativne sheme umetnostnega muzeja,"Bračun Sova, Rajka","Kemperl, Metoda",,pedagogika; muzejska interpretacija; estetska kompetenca; interpretativna shema; umetnost,2014,Slovenski jezik,PEF - Pedagoška fakulteta,8,282,2479,403
Motivacijska naravnanost zaposlenih v varstveno-delovnih centrih,"Emeršič, Urška","Krajnčan, Mitja","Jerman, Janez",zadovoljstvo pri delu; vodenje; kvaliteta storitev,2014,Slovenski jezik,PEF - Pedagoška fakulteta,12,296,2364,454
"Kakovost življenja, socialna vključenost in odvisnost od alkohola","Čuček-Trifkovič, Klavdija","Kobolt, Alenka","Kores-Plesničar, Blanka",zadovoljstvo z življenjem; socialna vključenost; družinska podpora; depresivna motnja,2014,Slovenski jezik,PEF - Pedagoška fakulteta,14,285,2770,476
ELEKTRIČNE LASTNOSTI HIDRIRANIH RAVNINSKIH LIPIDNIH DVOSLOJEV,"VELIKONJA, ALJAŽ","Maček Lebar, Alenka","Iglič, Aleš",hidrirani ravninski lipidni dvosloj; temperatura; električni parametri; Langevin-Poisson-Boltzmannov model; Langevin-Bikermanov model; hydrated planar lipid bilayer; temperature; electrical parameters; Langevin-Poisson-Boltzmann model; Langevin-Bikerman model,2014,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,2608,517
Vpliv družbenoekonomskega položaja na izražanje političnih mnenj v anketah,"Novak, Meta","Malnar, Brina",,politično znanje; anketiranci; razkorak v znanju,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2626,289
Vpliv družbeno odgovornega promocijskega sporočanja o zdravju in zdravilih na strokovno in splošno javnost,"Kasesnik, Karin","Kline, Miro",,,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,1224,478
Konkurenčni aspekt trajnostnega menedžmenta,"Nučič, Maruša","Jančič, Zlatko",,trajnostni menedžment; ekološki menedžment; konkurenčna prednost; kongresni turizem,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,3251,545
Primerjalna analiza sindikalnega organiziranja v vojskah držav Evropske unije,"Štampar, Ljubo","Jelušič, Ljubica",,,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,1469,154
Načrtovanje k rezultatom usmerjenega proračuna na primeru okolja,"Kotnik, Žiga","Škulj, Damjan","Klun, Maja",,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,1962,345
Elementi politične patologije in njihov vpliv na volilno abstinenco,"Vrhovac, Sanda","Kropivnik, Samo",,demokracija; politična patologija; volilna abstinenca; populizem,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,1902,387
Vpliv mirovnih operacij na funkcije oboroženih sil srednjeevropskih držav po hladni vojni,"Cebek, Igor","Prebilič, Vladimir","Vuga Beršnak, Janja",,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,14135,305
Identiteta potomcev srbskih priseljencev v Sloveniji,"Vobič Arlič, Nina","Velikonja, Mitja","Ule, Mirjana",Jugoslavija; postkomunizem; nacionalizem; Srbi,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,3262,645
Diskurzi medijske politike Evropske unije,"Kerševan, Tanja","Erjavec, Karmen","Milosavljević, Marko",avdiovizualni mediji; storitve; kritična analiza diskurza,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2898,325
"Epikarst control of the discharge, water quality and biodiversity in the Velika Pasica cave (Central Slovenia)","Liu, Allen Wei","Brancelj, Anton",,ekologija; hidrologija; epikras; prenikla voda; dežne padavine; analiza recesije; topljenje snega; vadozni tok; disertacije,2014,Angleški jezik,BF - Biotehniška fakulteta,16,168,2382,332
Metode za ugotavljanje pristnosti ekološko pridelanih živil,"Knap, Manca","Vidrih, Rajko","Ogrinc, Nives",sadje; zelenjava; zelišča; ekološka pridelava; konvencionalna pridelava; pristnost živil; antioksidativna učinkovitost; skupni fenoli; izotopsko razmerje; disertacije; fruits; vegetables; herbs; organic farming; conventional farming; food authenticity; antioxidant activity; total phenols; isotop ratio; IRMS; XRF,2014,Slovenski jezik,BF - Biotehniška fakulteta,15,142,3721,443
Transformacija oboroženih sil po koncu hladne vojne,"Šteiner, Alojz","Jelušič, Ljubica",,transformacija oboroženih sil; tranzicija; Slovenska vojska,2014,Slovenski jezik,FDV - Fakulteta za družbene vede,,,3330,314
Razširjena resničnost kot infrastruktura za izboljšanje komunikacije v gradbenih projektih,"Meža, Sebastjan","Turk, Žiga",,gradbeništvo; disertacije; razširjena resničnost; mobilno računalništvo; projektna dokumentacija; BIM; civil engineering; thesis; augmented reality; mobile computing; project documentation; BIM,2014,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,20,142,5790,809
Uporaba steklenih panelov za potresno varno gradnjo objektov,"Antolinc, David","Žarnić, Roko","Rajčić, Vlatka",gradbeništvo; disertacije; konstrukcijsko steklo; lamelirano steklo; leseni okvirji; potres; dušenje; ciklična obremenitev; histerezni odziv; trenje; strižni paneli; civil engineering; thesys; structural glass; laminated glass; timber frame; earthquake; damping; racking test; hysteresis response; friction; shear wall,2014,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,22,168,5881,756
Vloga javnega prostora kot podpora urbanemu razvoju na primeru majhnih mest v Sloveniji,"Vertelj Nared, Petra","Zavodnik Lamovšek, Alma","Kos, Drago",gradbeništvo; disertacije; odprti javni prostor; majhna mesta; urbani razvoj; kakovost bivanja; Slovenija; civil engineering; thesis; public open space; small cities; urban development; quality of life,2014,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,24,218,5407,964
Medmrežni model javne participacije v procesu urbanističnega planiranja,"Bizjak, Igor","Turk, Žiga",,javna participacija; prostorsko načrtovanje; urbanistično načrtovanje; splet 2.0; public paticipation; spatial planning; urban planning; Web 2.0,2014,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,,,3677,632
Sinteza večsenzorskih neporušnih preiskav gradbenih konstrukcijskih elementov z uporabo metod gručenja,"Cotič Smole, Patricia","Jagličić, Zvonko","Bosiljkov, Vlatko",gradbeništvo; disertacije; neporušne preiskave; georadar; infrardeča termografija; ultrazvočna metoda; kompleksno-uporovna metoda; beton; zidovje; združevanje podatkov; združevanje slik; metode gručenja; civil engineering; thesis; non-destructive testing; ground penetrating radar; infrared thermography; ultrasonic; complex resistivity; concrete; masonry; data fusion; image fusion; clustering methods,2014,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,30,100,4508,568
Metoda stohastičnih končnih elementov v modeliranju konstrukcij,"Melink, Teja","Korelc, Jože",,gradbeništvo; disertacije; metoda stohastičnih končnih elementov; stohastičo polje; Karhunen- Loèvova dekompozicija; stohastični končni elementi; avtomatsko odvajanje; perturbacijska metoda; stochastic finite element method; stochastic fiield; Karhunen-Loèvove decomposition; stochastic finite element; automatic differentiation; perturbation method,2014,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,27,191,3774,639
Analiza vpliva nizkih temperatur na značilnosti bitumeniziranih zmesi za obrabne plasti na voziščih,"Hribar, Dejan","Tušar, Marjan","Žmavc, Janez",gradbeništvo; disertacije; bitumenizirana zmes; nizke temperature; razpoke; statistika; civil engineering; thesis; asphalt mixture; low temperature; cracks; statistics,2014,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,28,164,2864,565
Vpliv tokovnega polja na učinkovitost usedanja trdnih delcev v usedalniku s kontinuirnim delovanjem,"Prešeren, Tanja","Steinman, Franci","Bajcar, Tom",gradbeništvo; disertacije; naknadni usedalnik; Froudovo densimetrično število; gostotni tokovi; kontinuirno delovanje; čiščenje odpadnih voda; suspenzija; velikost delcev; vizualizacija toka; računalništvo; civil engineering; thesis; secondary settling tank; densimetric Froude number; density currents; continuous operation; wastewater treatment; efficiency; suspension; particle size; computer-aided flow visualization,2014,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,,,4404,638
